Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki
3s.14s	3S	3	0	0	3	0.55545280	3s.5f	3F*	3	3	1	21	0.52128370	4.711e-07
3s.13d	1D	1	2	0	5	0.55549300	3s.3p	1P*	1	1	1	3	0.31941062	2.111e-01
3s.13d	1D	1	2	0	5	0.55549300	3s.4p	1P*	1	1	1	3	0.44968048	9.342e-04
3s.13d	1D	1	2	0	5	0.55549300	3s.4f	1F*	1	3	1	7	0.49824836	1.358e-06
3s.13d	1D	1	2	0	5	0.55549300	3s.5p	1P*	1	1	1	3	0.49852264	1.489e-05
3s.13d	1D	1	2	0	5	0.55549300	3s.6p	1P*	1	1	1	3	0.52138137	4.145e-07
3s.14s	1S	1	0	0	1	0.55561900	3s.4f	1F*	1	3	1	7	0.49824836	7.591e-06
3s.14s	1S	1	0	0	1	0.55561900	3s.5f	1F*	1	3	1	7	0.52128269	4.268e-07
3s.14p	3P*	3	1	1	9	0.55583100	3s.3d	3D	3	2	0	15	0.43701672	3.426e-06
3s.13d	3D	3	2	0	15	0.55591240	3s.3p	3P*	3	1	1	9	0.19948414	5.362e-01
3s.13d	3D	3	2	0	15	0.55591240	3s.4p	3P*	3	1	1	9	0.43602120	1.960e-04
3s.13d	3D	3	2	0	15	0.55591240	3s.5p	3P*	3	1	1	9	0.49437523	2.063e-06
3s.13d	3D	3	2	0	15	0.55591240	3s.4f	3F*	3	3	1	21	0.49825087	4.959e-07
3s.13f	1F*	1	3	1	7	0.55602420	3s2	1S	1	0	0	1	0.00000000	7.864e-01
3s.13f	1F*	1	3	1	7	0.55602420	3s.4s	1S	1	0	0	1	0.39643154	1.663e-03
3s.13f	1F*	1	3	1	7	0.55602420	3s.3d	1D	1	2	0	5	0.42285584	1.286e-04
3s.13f	1F*	1	3	1	7	0.55602420	3s.5s	1S	1	0	0	1	0.47892739	1.721e-05
3s.13f	1F*	1	3	1	7	0.55602420	3s.4d	1D	1	2	0	5	0.48419848	2.806e-06
3s.13f	1F*	1	3	1	7	0.55602420	3s.6s	1S	1	0	0	1	0.51201246	4.392e-07
3s.13f	3F*	3	3	1	21	0.55602420	3s.4s	3S	3	0	0	3	0.37541836	1.750e-03
3s.13f	3F*	3	3	1	21	0.55602420	3s.3d	3D	3	2	0	15	0.43701672	1.271e-05
3s.13f	3F*	3	3	1	21	0.55602420	3s.5s	3S	3	0	0	3	0.47269724	8.421e-06
3s.13f	3F*	3	3	1	21	0.55602420	3s.4d	3D	3	2	0	15	0.49383643	2.124e-07
3s.13f	3F*	3	3	1	21	0.55602420	3s.6s	3S	3	0	0	3	0.50932360	2.589e-07
3s.14p	1P*	1	1	1	3	0.55602720	3s.3d	1D	1	2	0	5	0.42285584	5.467e-03
3s.14p	1P*	1	1	1	3	0.55602720	3s.4d	1D	1	2	0	5	0.48419848	1.330e-04
3s.14p	1P*	1	1	1	3	0.55602720	3s.5d	1D	1	2	0	5	0.51311972	4.883e-06
3s.14p	1P*	1	1	1	3	0.55602720	3s.6d	1D	1	2	0	5	0.52874672	3.007e-07
3s.15s	3S	3	0	0	3	0.55626800	3s.4f	3F*	3	3	1	21	0.49825087	4.354e-05
3s.15s	3S	3	0	0	3	0.55626800	3s.5f	3F*	3	3	1	21	0.52128370	2.620e-06
3s.15s	3S	3	0	0	3	0.55626800	3s.6f	3F*	3	3	1	21	0.53377948	1.807e-07
