Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf	source
3s.5d	3D	3	2	0	3	0.51913308	3s.3p	3P*	3	1	1	5	0.19966935	5.572e+05	4.078e-04	2.039e-03	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.3p	1P*	1	1	1	3	0.31941062	9.790e+00	3.055e-08	9.166e-08	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4p	3P*	3	1	1	1	0.43596035	2.540e+06	1.370e-01	1.370e-01	nist
3s.5d	3D	3	2	0	3	0.51913308	3s.4p	3P*	3	1	1	3	0.43599038	1.666e+06	3.000e-02	9.001e-02	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4p	3P*	3	1	1	5	0.43605187	1.108e+05	1.199e-03	5.995e-03	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4p	1P*	1	1	1	3	0.44968048	1.019e+01	2.630e-07	7.890e-07	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.5p	3P*	3	1	1	1	0.49435152	1.030e+06	6.260e-01	6.260e-01	nist
3s.5d	3D	3	2	0	3	0.51913308	3s.5p	3P*	3	1	1	3	0.49436316	7.207e+05	1.462e-01	4.387e-01	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.5p	3P*	3	1	1	5	0.49438722	4.787e+04	5.839e-03	2.920e-02	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4f	3F*	3	3	1	5	0.49825033	1.054e+05	1.805e-02	9.027e-02	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.5p	1P*	1	1	1	3	0.49852264	4.380e+00	1.284e-06	3.851e-06	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.3p	3P*	3	1	1	3	0.19929833	1.770e+07	3.590e-02	1.077e-01	nist
3s.5d	3D	3	2	0	5	0.51913287	3s.3p	3P*	3	1	1	5	0.19966935	5.015e+06	6.118e-03	3.059e-02	auto
