Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	source
3s.6s	1S	1	0	0	1	0.51201246	3s.4d	1D	1	2	0	5	0.48419848	7.369e-01	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.4d	3D	3	2	0	3	0.49383689	7.026e-15	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.4d	3D	3	2	0	5	0.49383652	1.443e-11	auto
3s.6s	1S	1	0	0	1	0.51201246	3s.6s	3S	3	0	0	3	0.50932360	7.330e-21	auto
3s.5d	1D	1	2	0	5	0.51311972	3s2	1S	1	0	0	1	0.00000000	4.901e+02	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.4s	1S	1	0	0	1	0.39643154	1.193e+01	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.3d	1D	1	2	0	5	0.42285584	3.708e+00	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.5s	1S	1	0	0	1	0.47892739	1.908e+00	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.4d	1D	1	2	0	5	0.48419848	2.323e-01	auto
3s.5d	1D	1	2	0	5	0.51311972	3s.6s	1S	1	0	0	1	0.51201246	6.715e-07	auto
3s.5d	3D	3	2	0	3	0.51913308	3s2	1S	1	0	0	1	0.00000000	2.291e-09	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4s	3S	3	0	0	3	0.37541836	4.329e+00	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4s	1S	1	0	0	1	0.39643154	2.199e-12	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.3d	3D	3	2	0	3	0.43701687	8.461e-02	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.3d	3D	3	2	0	5	0.43701659	1.410e-01	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.3d	3D	3	2	0	7	0.43701675	1.611e-02	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.5s	3S	3	0	0	3	0.47269724	4.555e-01	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.5s	1S	1	0	0	1	0.47892739	3.644e-14	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4d	3D	3	2	0	3	0.49383689	1.217e-01	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4d	3D	3	2	0	5	0.49383652	2.029e-01	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.4d	3D	3	2	0	7	0.49383617	2.319e-02	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.6s	3S	3	0	0	3	0.50932360	3.283e-02	auto
3s.5d	3D	3	2	0	3	0.51913308	3s.6s	1S	1	0	0	1	0.51201246	1.199e-19	auto
3s.5d	3D	3	2	0	5	0.51913287	3s2	1S	1	0	0	1	0.00000000	1.344e-07	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4s	3S	3	0	0	3	0.37541836	4.329e+00	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4s	1S	1	0	0	1	0.39643154	4.446e-09	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.3d	3D	3	2	0	3	0.43701687	8.461e-02	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.3d	3D	3	2	0	5	0.43701659	6.043e-02	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.3d	3D	3	2	0	7	0.43701675	9.667e-02	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.5s	3S	3	0	0	3	0.47269724	4.555e-01	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.5s	1S	1	0	0	1	0.47892739	8.965e-10	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4d	3D	3	2	0	3	0.49383689	1.217e-01	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4d	3D	3	2	0	5	0.49383652	8.696e-02	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.4d	3D	3	2	0	7	0.49383617	1.391e-01	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.6s	3S	3	0	0	3	0.50932360	3.283e-02	auto
3s.5d	3D	3	2	0	5	0.51913287	3s.6s	1S	1	0	0	1	0.51201246	9.031e-13	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.4s	3S	3	0	0	3	0.37541836	4.329e+00	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.3d	3D	3	2	0	3	0.43701687	6.907e-03	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.3d	3D	3	2	0	5	0.43701659	6.906e-02	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.3d	3D	3	2	0	7	0.43701675	1.657e-01	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.5s	3S	3	0	0	3	0.47269724	4.555e-01	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.4d	3D	3	2	0	3	0.49383689	9.939e-03	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.4d	3D	3	2	0	5	0.49383652	9.938e-02	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.4d	3D	3	2	0	7	0.49383617	2.385e-01	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.6s	3S	3	0	0	3	0.50932360	3.283e-02	auto
3s.5d	3D	3	2	0	7	0.51913260	3s.5d	3D	3	2	0	3	0.51913308	4.977e-27	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.3p	3P*	3	1	1	3	0.19929833	2.985e-07	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.3p	3P*	3	1	1	5	0.19966935	9.855e+01	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.3p	1P*	1	1	1	3	0.31941062	3.569e-07	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.4p	3P*	3	1	1	3	0.43599038	3.954e-09	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.4p	3P*	3	1	1	5	0.43605187	1.125e+00	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.4p	1P*	1	1	1	3	0.44968048	8.130e-08	auto
3s.6p	3P*	3	1	1	1	0.51957785	3s.5p	3P*	3	1	1	3	0.49436316	2.158e-10	auto
