Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.16p	3P*	3	1	1	9	0.55733200	3s.10s	3S	3	0	0	3	0.54770790	1.411e+03	5.690e-03	1.707e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.9d	3D	3	2	0	15	0.54916218	7.026e+02	7.863e-04	1.179e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.11s	3S	3	0	0	3	0.55059550	1.067e+03	8.785e-03	2.635e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.10d	3D	3	2	0	15	0.55163860	9.449e+02	2.177e-03	3.266e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.12s	3S	3	0	0	3	0.55268770	8.604e+02	1.490e-02	4.469e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.11d	3D	3	2	0	15	0.55346150	1.079e+03	5.382e-03	8.073e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.13s	3S	3	0	0	3	0.55425240	7.327e+02	2.886e-02	8.657e-02
3s.16p	3P*	3	1	1	9	0.55733200	3s.12d	3D	3	2	0	15	0.55484160	1.128e+03	1.359e-02	2.038e-01
3s.16p	3P*	3	1	1	9	0.55733200	3s.14s	3S	3	0	0	3	0.55545280	6.568e+02	6.946e-02	2.084e-01
3s.16p	3P*	3	1	1	9	0.55733200	3s.13d	3D	3	2	0	15	0.55591240	1.081e+03	4.008e-02	6.012e-01
3s.16p	3P*	3	1	1	9	0.55733200	3s.15s	3S	3	0	0	3	0.55626800	8.893e+02	2.934e-01	8.802e-01
3s.16p	3P*	3	1	1	9	0.55733200	3s.14d	3D	3	2	0	15	0.55675930	7.957e+02	1.812e-01	2.718e+00
3s.16p	3P*	3	1	1	9	0.55733200	3s.16s	3S	3	0	0	3	0.55701300	1.726e+03	6.334e+00	1.900e+01
3s.16p	3P*	3	1	1	9	0.55733200	3s.15d	3D	3	2	0	15	0.55732000	3.374e-01	1.750e-01	2.625e+00
3s.15f	1F*	1	3	1	7	0.55751290	3s.3d	1D	1	2	0	5	0.42285584	2.427e+04	2.333e-04	1.167e-03
3s.15f	1F*	1	3	1	7	0.55751290	3s.4d	1D	1	2	0	5	0.48419848	5.774e+02	1.872e-05	9.362e-05
3s.15f	1F*	1	3	1	7	0.55751290	3s.5d	1D	1	2	0	5	0.51311972	1.202e+03	1.063e-04	5.314e-04
3s.15f	1F*	1	3	1	7	0.55751290	3s.5g	1G	1	4	0	9	0.52181666	3.133e+02	2.381e-05	2.143e-04
3s.15f	1F*	1	3	1	7	0.55751290	3s.6d	1D	1	2	0	5	0.52874672	2.560e+03	5.393e-04	2.696e-03
3s.15f	1F*	1	3	1	7	0.55751290	3s.6g	3G	3	4	0	27	0.53410086	4.914e+02	2.893e-05	7.812e-04
3s.15f	1F*	1	3	1	7	0.55751290	3s.7d	1D	1	2	0	5	0.53802135	3.015e+03	1.383e-03	6.915e-03
3s.15f	1F*	1	3	1	7	0.55751290	3s.7g	1G	1	4	0	9	0.54150711	6.122e+02	2.314e-04	2.083e-03
3s.15f	1F*	1	3	1	7	0.55751290	3s.8d	1D	1	2	0	5	0.54393522	2.948e+03	2.787e-03	1.394e-02
3s.15f	1F*	1	3	1	7	0.55751290	3s.8g	3G	3	4	0	27	0.54631250	6.854e+02	1.763e-04	4.761e-03
3s.15f	1F*	1	3	1	7	0.55751290	3s.9d	1D	1	2	0	5	0.54791972	2.681e+03	5.078e-03	2.539e-02
3s.15f	1F*	1	3	1	7	0.55751290	3s.9g	3G	3	4	0	27	0.54960627	7.278e+02	3.758e-04	1.015e-02
3s.15f	1F*	1	3	1	7	0.55751290	3s.10d	1D	1	2	0	5	0.55072514	2.368e+03	8.958e-03	4.479e-02
3s.15f	1F*	1	3	1	7	0.55751290	3s.11d	1D	1	2	0	5	0.55277180	2.073e+03	1.608e-02	8.038e-02
3s.15f	1F*	1	3	1	7	0.55751290	3s.12d	1D	1	2	0	5	0.55430930	1.821e+03	3.092e-02	1.546e-01
3s.15f	1F*	1	3	1	7	0.55751290	3s.13d	1D	1	2	0	5	0.55549300	1.617e+03	6.908e-02	3.454e-01
3s.15f	1F*	1	3	1	7	0.55751290	3s.14d	1D	1	2	0	5	0.55642400	1.434e+03	2.108e-01	1.054e+00
3s.15f	1F*	1	3	1	7	0.55751290	3s.15d	1D	1	2	0	5	0.55716800	5.021e+03	7.356e+00	3.678e+01
3s.15f	3F*	3	3	1	21	0.55751290	3s.3d	3D	3	2	0	15	0.43701672	1.111e+04	1.334e-04	2.001e-03
3s.15f	3F*	3	3	1	21	0.55751290	3s.4d	3D	3	2	0	15	0.49383643	2.404e+04	1.034e-03	1.550e-02
3s.15f	3F*	3	3	1	21	0.55751290	3s.5d	3D	3	2	0	15	0.51913279	2.039e+04	2.413e-03	3.619e-02
3s.15f	3F*	3	3	1	21	0.55751290	3s.5g	3G	3	4	0	27	0.52181666	3.104e+02	2.359e-05	6.369e-04
3s.15f	3F*	3	3	1	21	0.55751290	3s.6d	3D	3	2	0	15	0.53257046	1.465e+04	4.103e-03	6.154e-02
3s.15f	3F*	3	3	1	21	0.55751290	3s.6g	1G	1	4	0	9	0.53410086	4.904e+02	2.599e-04	2.339e-03
3s.15f	3F*	3	3	1	21	0.55751290	3s.7d	3D	3	2	0	15	0.54055244	1.059e+04	6.418e-03	9.627e-02
3s.15f	3F*	3	3	1	21	0.55751290	3s.7g	3G	3	4	0	27	0.54150711	6.115e+02	2.311e-04	6.241e-03
3s.15f	3F*	3	3	1	21	0.55751290	3s.8d	3D	3	2	0	15	0.54567744	7.844e+03	9.759e-03	1.464e-01
