Confk	Termk	Sk	Lk	Pk	gk	Ek(Ry)	Confi	Termi	Si	Li	Pi	gi	Ei(Ry)	Aki	fik	gf
3s.6f	3F*	3	3	1	5	0.53377948	3s.5d	3D	3	2	0	7	0.51913260	3.325e+03	1.378e-03	9.647e-03
3s.6f	3F*	3	3	1	5	0.53377948	3s.5g	3G	3	4	0	7	0.52181666	1.446e+04	8.983e-03	6.288e-02
3s.6f	3F*	3	3	1	5	0.53377948	3s.6d	3D	3	2	0	3	0.53257065	3.778e+03	5.365e-01	1.609e+00
3s.6f	3F*	3	3	1	5	0.53377948	3s.6d	3D	3	2	0	5	0.53257046	6.996e+02	5.958e-02	2.979e-01
3s.6f	3F*	3	3	1	5	0.53377948	3s.6d	3D	3	2	0	7	0.53257037	1.998e+01	1.216e-03	8.509e-03
3s.6f	3F*	3	3	1	7	0.53377948	3s.3d	1D	1	2	0	5	0.42285584	2.743e+05	3.885e-03	1.943e-02
3s.6f	3F*	3	3	1	7	0.53377948	3s.3d	3D	3	2	0	5	0.43701659	2.880e+06	5.360e-02	2.680e-01
3s.6f	3F*	3	3	1	7	0.53377948	3s.3d	3D	3	2	0	7	0.43701675	3.063e+05	4.073e-03	2.851e-02
3s.6f	3F*	3	3	1	7	0.53377948	3s.4d	1D	1	2	0	5	0.48419848	9.424e+04	6.681e-03	3.341e-02
3s.6f	3F*	3	3	1	7	0.53377948	3s.4d	3D	3	2	0	5	0.49383652	1.320e+06	1.440e-01	7.200e-01
3s.6f	3F*	3	3	1	7	0.53377948	3s.4d	3D	3	2	0	7	0.49383617	1.624e+05	1.267e-02	8.869e-02
3s.6f	3F*	3	3	1	7	0.53377948	3s.5d	1D	1	2	0	5	0.51311972	2.883e+04	1.177e-02	5.886e-02
3s.6f	3F*	3	3	1	7	0.53377948	3s.5d	3D	3	2	0	5	0.51913287	6.209e+05	5.045e-01	2.522e+00
3s.6f	3F*	3	3	1	7	0.53377948	3s.5d	3D	3	2	0	7	0.51913260	7.761e+04	4.504e-02	3.153e-01
3s.6f	3F*	3	3	1	7	0.53377948	3s.5g	3G	3	4	0	7	0.52181666	8.436e+02	7.339e-04	5.137e-03
3s.6f	3F*	3	3	1	7	0.53377948	3s.5g	1G	1	4	0	9	0.52181666	2.541e+03	1.719e-03	1.547e-02
3s.6f	3F*	3	3	1	7	0.53377948	3s.5g	3G	3	4	0	9	0.52181666	1.108e+04	7.498e-03	6.748e-02
3s.6f	3F*	3	3	1	7	0.53377948	3p2	3P	3	1	0	5	0.52738610	9.271e+00	3.953e-05	1.977e-04
3s.6f	3F*	3	3	1	7	0.53377948	3s.6d	1D	1	2	0	5	0.52874672	2.100e+04	1.445e-01	7.225e-01
3s.6f	3F*	3	3	1	7	0.53377948	3s.6d	3D	3	2	0	5	0.53257046	3.734e+03	4.453e-01	2.226e+00
3s.6f	3F*	3	3	1	7	0.53377948	3s.6d	3D	3	2	0	7	0.53257037	4.667e+02	3.974e-02	2.782e-01
3s.6f	3F*	3	3	1	9	0.53377948	3s.3d	3D	3	2	0	7	0.43701675	3.240e+06	5.540e-02	3.878e-01
3s.6f	3F*	3	3	1	9	0.53377948	3s.4d	3D	3	2	0	7	0.49383617	1.490e+06	1.490e-01	1.043e+00
3s.6f	3F*	3	3	1	9	0.53377948	3s.5d	3D	3	2	0	7	0.51913260	7.480e+05	5.581e-01	3.907e+00
3s.6f	3F*	3	3	1	9	0.53377948	3s.5g	3G	3	4	0	7	0.52181666	1.115e+01	1.247e-05	8.731e-05
3s.6f	3F*	3	3	1	9	0.53377948	3s.5g	1G	1	4	0	9	0.52181666	3.030e+02	2.635e-04	2.372e-03
3s.6f	3F*	3	3	1	9	0.53377948	3s.5g	3G	3	4	0	9	0.52181666	3.996e+02	3.477e-04	3.129e-03
3s.6f	3F*	3	3	1	9	0.53377948	3s.5g	3G	3	4	0	11	0.52181666	1.374e+04	9.780e-03	1.076e-01
3s.6f	3F*	3	3	1	9	0.53377948	3s.6d	3D	3	2	0	7	0.53257037	4.500e+03	4.927e-01	3.449e+00
3s.7p	1P*	1	1	1	3	0.53382230	3s2	1S	1	0	0	1	0.00000000	3.280e+06	4.300e-03	4.300e-03
3s.7p	1P*	1	1	1	3	0.53382230	3s.4s	3S	3	0	0	3	0.37541836	1.617e+01	8.025e-08	2.407e-07
