K	Conf	Term	2S+1	L	P	2J	CF	AS (Ryd)	NIST (Ryd)	Energy
248	3s.13d	3D	3	2	0	4	55	0.555899	0.555912	0.555912
249	3s.13d	3D	3	2	0	2	55	0.555899	0.555912	0.555912
250	3s.14p	1P*	1	1	1	2	58	0.555968	0.556027	0.556027
251	3s.13f	1F*	1	3	1	6	56	0.556004	0.556024	0.556024
252	3s.13f	3F*	3	3	1	4	56	0.556004	0.556024	0.556024
253	3s.13f	3F*	3	3	1	6	56	0.556004	0.556024	0.556024
254	3s.13f	3F*	3	3	1	8	56	0.556004	0.556024	0.556024
255	3s.14d	1D	1	2	0	4	59	0.556380	0.556424	0.556424
256	3s.14d	3D	3	2	0	6	59	0.556747	0.556759	0.556759
257	3s.14d	3D	3	2	0	4	59	0.556747	0.556759	0.556759
258	3s.14d	3D	3	2	0	2	59	0.556747	0.556759	0.556759
259	3s.15p	1P*	1	1	1	2	62	0.556797	0.556851	0.556851
260	3s.14f	1F*	1	3	1	6	60	0.556829	0.556848	0.556848
261	3s.14f	3F*	3	3	1	4	60	0.556829	0.556848	0.556848
262	3s.14f	3F*	3	3	1	6	60	0.556829	0.556848	0.556848
263	3s.14f	3F*	3	3	1	8	60	0.556829	0.556848	0.556848
264	3s.15d	1D	1	2	0	4	63	0.557130	0.557168	0.557168
265	3s.16p	1P*	1	1	1	2	66	0.557464	0.557515	0.557515
266	3s.15f	1F*	1	3	1	6	64	0.557494	0.557513	0.557513
267	3s.15f	3F*	3	3	1	4	64	0.557494	0.557513	0.557513
268	3s.15f	3F*	3	3	1	6	64	0.557494	0.557513	0.557513
269	3s.15f	3F*	3	3	1	8	64	0.557494	0.557513	0.557513
270	3s.16d	1D	1	2	0	4	67	0.557737	0.557770	0.557770
271	3s.17p	1P*	1	1	1	2	69	0.558010	0.558058	0.558058
272	3s.17d	1D	1	2	0	4	70	0.558239	0.558269	0.558269
273	3s.18p	1P*	1	1	1	2	72	0.558459	0.558508	0.558508
274	3s.18d	1D	1	2	0	4	73	0.558656	0.558683	0.558683
275	3s.19p	1P*	1	1	1	2	75	0.558829	0.558885	0.558885
276	3s.19d	1D	1	2	0	4	76	0.559007	0.559032	0.559032
277	3s.20p	1P*	1	1	1	2	78	0.559121	0.559204	0.559204
278	3s.20d	1D	1	2	0	4	79	0.559305	0.559328	0.559328
279	3p2	1D	1	2	0	4	13	0.618538	-1.000000	0.618538
280	3p2	1S	1	0	0	0	13	0.665508	-1.000000	0.665508
